CustomerID,Count,Gender,Senior Citizen,Partner,Dependents
3668-QPYBK,1,Male,No,No,No
9237-HQITU,1,Female,No,No,Yes
9305-CDSKC,1,Female,No,No,Yes
7892-POOKP,1,Female,No,Yes,Yes
0280-XJGEX,1,Male,No,No,Yes
4190-MFLUW,1,Female,No,Yes,No
8779-QRDMV,1,Male,Yes,No,No
1066-JKSGK,1,Male,No,No,No
6467-CHFZW,1,Male,No,Yes,Yes
8665-UTDHZ,1,Male,No,Yes,No
8773-HHUOZ,1,Female,No,No,No
6047-YHPVI,1,Male,No,No,Yes
5380-WJKOV,1,Male,No,No,Yes
8168-UQWWF,1,Female,No,No,Yes
7760-OYPDY,1,Female,No,No,Yes
9420-LOJKX,1,Female,No,No,Yes
7495-OOKFY,1,Female,Yes,Yes,Yes
1658-BYGOY,1,Male,Yes,No,Yes
5698-BQJOH,1,Female,No,No,Yes
5919-TMRGD,1,Female,No,No,Yes
9191-MYQKX,1,Female,No,Yes,Yes
8637-XJIVR,1,Female,No,No,Yes
0278-YXOOG,1,Male,No,No,No
4598-XLKNJ,1,Female,Yes,Yes,Yes
3192-NQECA,1,Male,No,Yes,No
0486-HECZI,1,Male,No,Yes,Yes
4846-WHAFZ,1,Female,Yes,Yes,Yes
5299-RULOA,1,Female,No,Yes,Yes
0404-SWRVG,1,Male,No,No,Yes
4412-YLTKF,1,Female,Yes,No,Yes
6207-WIOLX,1,Female,No,Yes,No
3091-FYHKI,1,Male,No,No,No
2372-HWUHI,1,Male,No,No,No
0390-DCFDQ,1,Female,Yes,Yes,Yes
4080-OGPJL,1,Female,No,No,No
2135-RXIHG,1,Male,No,No,No
3874-EQOEP,1,Male,No,No,Yes
0867-MKZVY,1,Female,No,Yes,Yes
3376-BMGFE,1,Female,No,No,Yes
3445-HXXGF,1,Male,Yes,Yes,No
1875-QIVME,1,Female,No,Yes,Yes
0691-JVSYA,1,Female,No,Yes,No
2656-FMOKZ,1,Female,Yes,No,Yes
2070-FNEXE,1,Female,Yes,No,Yes
6317-YPKDH,1,Female,No,No,No
9367-WXLCH,1,Male,No,No,Yes
1918-ZBFQJ,1,Female,No,No,Yes
1024-GUALD,1,Female,No,Yes,No
2472-OVKUP,1,Male,No,Yes,Yes
1285-OKIPP,1,Male,No,No,Yes
7825-ECJRF,1,Female,No,No,Yes
7841-TZDMQ,1,Male,No,No,No
9408-SSNVZ,1,Female,No,No,Yes
0742-MOABM,1,Male,No,Yes,No
2232-DMLXU,1,Female,No,Yes,No
8937-RDTHP,1,Male,No,No,Yes
1251-KRREG,1,Male,No,No,No
0094-OIFMO,1,Female,Yes,No,Yes
9947-OTFQU,1,Male,Yes,No,No
0322-YINQP,1,Male,No,No,No
4629-NRXKX,1,Female,No,Yes,No
9514-JDSKI,1,Male,Yes,Yes,No
4959-JOSRX,1,Female,No,Yes,No
7273-TEFQD,1,Male,Yes,No,No
3606-TWKGI,1,Male,Yes,No,No
6323-AYBRX,1,Male,No,No,No
4385-GZQXV,1,Female,Yes,No,No
6366-ZGQGL,1,Male,No,No,No
5940-AHUHD,1,Male,No,No,No
6432-TWQLB,1,Male,No,Yes,No
4484-GLZOU,1,Female,No,Yes,No
9512-UIBFX,1,Male,No,Yes,No
5583-SXDAG,1,Male,No,Yes,No
