ID,Zip Code,Population
1,90003,8853
2,90005,13636
3,90006,4026
4,90010,6230
5,90015,7963
6,90020,11138
7,90022,4012
8,90024,13089
9,90028,14306
10,90029,7385
11,90032,2511
12,90039,2883
13,90041,13432
14,90042,9011
15,90056,13129
16,90061,13113
17,90063,7543
18,90065,10956
19,90211,13429
20,90255,12854
21,90262,11074
22,90292,14089
23,90301,9191
24,90303,11480
25,90403,2688
26,90504,6534
27,90602,4359
28,90606,6397
29,90631,14159
30,90660,6131
31,90704,2690
32,90710,10002
33,90712,8665
34,90720,12636
35,90731,2329
36,90745,6396
37,90804,13081
38,91001,12473
39,91016,3360
40,91024,8744
41,91042,11890
42,91103,13899
43,91106,4615
44,91107,5595
45,91202,6240
46,91204,12762
47,91206,6261
48,91207,8418
49,91304,3009
50,91345,5559
51,91350,5224
52,91352,7842
53,91381,2611
54,91402,7107
55,91411,7439
56,91504,11090
57,91601,12946
58,91605,5842
59,91722,4086
60,91723,2825
61,91731,14486
62,91732,5382
63,91744,9759
64,91746,5219
65,91748,8288
66,91762,8578
67,91764,2828
68,91766,14073
69,91768,8736
70,91770,2029
71,91773,14068
72,91791,7572
73,91803,7445
74,91901,8202
75,91902,5343
76,91905,14447
77,91931,9877
78,91934,5191
79,91948,9919
80,92004,2428
81,92009,9348
82,92014,3942
83,92020,7704
84,92029,6982
85,92057,10139
86,92059,9670
87,92060,11494
88,92061,9603
89,92066,2422
90,92082,8535
91,92103,9015
92,92104,5139
93,92105,3764
94,92108,12557
95,92116,2263
96,92122,2302
97,92129,4813
98,92154,12922
99,92201,6312
100,92210,7586
101,92211,12629
102,92240,13097
103,92250,14115
104,92257,5713
105,92258,9096
106,92259,12700
107,92273,11815
108,92274,5922
109,92301,13964
110,92307,8930
111,92325,10964
112,92327,4311
113,92338,14594
114,92356,5508
115,92358,11778
116,92371,3500
117,92373,5464
118,92377,13427
119,92382,2083
120,92389,5106
121,92392,4448
122,92397,8617
123,92401,11067
124,92410,2463
125,92503,7439
126,92506,12008
127,92509,14178
128,92518,9436
129,92544,3110
130,92548,6573
131,92549,13080
132,92557,8727
133,92563,13996
134,92571,14523
135,92586,14263
136,92587,10461
137,92612,11058
138,92630,9570
139,92646,14479
140,92648,7342
141,92661,8943
142,92701,14365
143,92707,9552
144,92805,8993
145,92806,9873
146,92807,11680
147,92823,6362
148,92860,12851
149,92887,3845
150,93001,6373
151,93003,2632
152,93041,6465
153,93067,14790
154,93101,6974
155,93110,7545
156,93201,12724
157,93202,4069
158,93204,10147
159,93205,6169
160,93208,6546
161,93210,5385
162,93215,4690
163,93219,9296
164,93221,7386
165,93224,9093
166,93234,6365
167,93238,6734
168,93244,11203
169,93247,13761
170,93252,5062
171,93255,3398
172,93260,5013
173,93263,3778
174,93272,2247
175,93285,14776
176,93292,6330
177,93311,14590
178,93405,10264
179,93436,8904
180,93437,9610
181,93440,14199
182,93445,10645
183,93449,2878
184,93501,14281
185,93528,6821
186,93531,7949
187,93535,9244
188,93536,4516
189,93552,4144
190,93553,13573
191,93554,9078
192,93555,8573
193,93562,8640
194,93591,4591
195,93604,5126
196,93606,7488
197,93624,8959
198,93626,9245
199,93630,12196
200,93637,10500
201,93638,5006
202,93640,5403
203,93641,13472
204,93647,3800
205,93650,11258
206,93660,9667
207,93662,5609
208,93665,3852
209,93667,11823
210,93675,2059
211,93703,6959
212,93706,9936
213,93711,10245
214,93721,12740
215,93920,10777
216,93923,6541
217,93928,9809
218,93930,14976
219,93932,14471
220,93933,13786
221,93953,8331
222,94002,4158
223,94014,2591
224,94021,3082
225,94024,9112
226,94040,3650
227,94043,6936
228,94060,13681
229,94066,13460
230,94080,7379
231,94086,8708
232,94102,6694
233,94108,6434
234,94114,3062
235,94130,5992
236,94131,5699
237,94304,9060
238,94402,4764
239,94509,11812
240,94512,13021
241,94514,6200
242,94520,3920
243,94538,2811
244,94539,11271
245,94541,8104
246,94545,11837
247,94546,6184
248,94550,2822
249,94553,12186
250,94555,14529
251,94558,12641
252,94564,14800
253,94566,7312
254,94579,5793
255,94580,10330
256,94583,11508
257,94587,2822
258,94588,10334
259,94595,3309
260,94596,6016
261,94598,2167
262,94606,10846
263,94607,7997
264,94704,6611
265,94706,11886
266,94707,3359
267,94710,3266
268,94903,4235
269,94904,5562
270,94923,7332
