CustomerID,Count,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason,Churn Score Category,CLTV Category
3668-QPYBK,1,Yes,1,86,3239,Competitor made better offer,"(80, 90]","(3000, 3500]"
9237-HQITU,1,Yes,1,67,2701,Moved,"(60, 70]","(2500, 3000]"
9305-CDSKC,1,Yes,1,86,5372,Moved,"(80, 90]","(5000, 5500]"
7892-POOKP,1,Yes,1,84,5003,Moved,"(80, 90]","(5000, 5500]"
0280-XJGEX,1,Yes,1,89,5340,Competitor had better devices,"(80, 90]","(5000, 5500]"
4190-MFLUW,1,Yes,1,78,5925,Competitor offered higher download speeds,"(70, 80]","(5500, 6000]"
8779-QRDMV,1,Yes,1,100,5433,Competitor offered more data,"(90, 100]","(5000, 5500]"
1066-JKSGK,1,Yes,1,92,4832,Competitor made better offer,"(90, 100]","(4500, 5000]"
6467-CHFZW,1,Yes,1,77,5789,Competitor had better devices,"(70, 80]","(5500, 6000]"
8665-UTDHZ,1,Yes,1,97,2915,Competitor had better devices,"(90, 100]","(2500, 3000]"
8773-HHUOZ,1,Yes,1,74,3022,Competitor offered higher download speeds,"(70, 80]","(3000, 3500]"
6047-YHPVI,1,Yes,1,66,2454,Competitor offered higher download speeds,"(60, 70]","(2000, 2500]"
5380-WJKOV,1,Yes,1,65,2941,Competitor offered higher download speeds,"(60, 70]","(2500, 3000]"
8168-UQWWF,1,Yes,1,70,5674,Competitor offered more data,"(60, 70]","(5500, 6000]"
7760-OYPDY,1,Yes,1,90,5586,Competitor offered more data,"(80, 90]","(5500, 6000]"
9420-LOJKX,1,Yes,1,82,2966,Competitor offered more data,"(80, 90]","(2500, 3000]"
7495-OOKFY,1,Yes,1,69,5302,Competitor made better offer,"(60, 70]","(5000, 5500]"
1658-BYGOY,1,Yes,1,81,3179,Competitor made better offer,"(80, 90]","(3000, 3500]"
5698-BQJOH,1,Yes,1,96,5571,Price too high,"(90, 100]","(5500, 6000]"
5919-TMRGD,1,Yes,1,87,2483,Product dissatisfaction,"(80, 90]","(2000, 2500]"
9191-MYQKX,1,Yes,1,70,3457,Service dissatisfaction,"(60, 70]","(3000, 3500]"
8637-XJIVR,1,Yes,1,86,5806,Lack of self-service on Website,"(80, 90]","(5500, 6000]"
0278-YXOOG,1,Yes,1,66,2604,Network reliability,"(60, 70]","(2500, 3000]"
4598-XLKNJ,1,Yes,1,88,5337,Limited range of services,"(80, 90]","(5000, 5500]"
3192-NQECA,1,Yes,1,86,5034,Lack of affordable download/upload speed,"(80, 90]","(5000, 5500]"
0486-HECZI,1,Yes,1,75,5154,Long distance charges,"(70, 80]","(5000, 5500]"
4846-WHAFZ,1,Yes,1,67,2793,Extra data charges,"(60, 70]","(2500, 3000]"
5299-RULOA,1,Yes,1,87,5998,Price too high,"(80, 90]","(5500, 6000]"
0404-SWRVG,1,Yes,1,76,4415,Product dissatisfaction,"(70, 80]","(4000, 4500]"
4412-YLTKF,1,Yes,1,95,4638,Service dissatisfaction,"(90, 100]","(4500, 5000]"
6207-WIOLX,1,Yes,1,99,4190,Lack of self-service on Website,"(90, 100]","(4000, 4500]"
3091-FYHKI,1,Yes,1,80,2301,Network reliability,"(70, 80]","(2000, 2500]"
2372-HWUHI,1,Yes,1,76,2570,Don't know,"(70, 80]","(2500, 3000]"
0390-DCFDQ,1,Yes,1,76,3964,Don't know,"(70, 80]","(3500, 4000]"
4080-OGPJL,1,Yes,1,66,2662,Don't know,"(60, 70]","(2500, 3000]"
2135-RXIHG,1,Yes,1,73,2600,Poor expertise of online support,"(70, 80]","(2500, 3000]"
3874-EQOEP,1,Yes,1,94,2786,Poor expertise of phone support,"(90, 100]","(2500, 3000]"
0867-MKZVY,1,Yes,1,86,5719,Price too high,"(80, 90]","(5500, 6000]"
3376-BMGFE,1,Yes,1,75,4287,Product dissatisfaction,"(70, 80]","(4000, 4500]"
3445-HXXGF,1,Yes,1,100,5444,Service dissatisfaction,"(90, 100]","(5000, 5500]"
1875-QIVME,1,Yes,1,83,4690,Lack of self-service on Website,"(80, 90]","(4500, 5000]"
0691-JVSYA,1,Yes,1,80,4328,Network reliability,"(70, 80]","(4000, 4500]"
2656-FMOKZ,1,Yes,1,99,5717,Limited range of services,"(90, 100]","(5500, 6000]"
2070-FNEXE,1,Yes,1,81,4419,Lack of affordable download/upload speed,"(80, 90]","(4000, 4500]"
6317-YPKDH,1,Yes,1,95,4534,Long distance charges,"(90, 100]","(4500, 5000]"
9367-WXLCH,1,Yes,1,86,2152,Extra data charges,"(80, 90]","(2000, 2500]"
1918-ZBFQJ,1,Yes,1,73,5142,Price too high,"(70, 80]","(5000, 5500]"
1024-GUALD,1,Yes,1,94,4851,Product dissatisfaction,"(90, 100]","(4500, 5000]"
2472-OVKUP,1,Yes,1,94,2283,Service dissatisfaction,"(90, 100]","(2000, 2500]"
1285-OKIPP,1,Yes,1,98,3394,Lack of self-service on Website,"(90, 100]","(3000, 3500]"
7825-ECJRF,1,Yes,1,71,3764,Network reliability,"(70, 80]","(3500, 4000]"
7841-TZDMQ,1,Yes,1,76,2667,Don't know,"(70, 80]","(2500, 3000]"
9408-SSNVZ,1,Yes,1,67,2227,Don't know,"(60, 70]","(2000, 2500]"
0742-MOABM,1,Yes,1,82,3394,Don't know,"(80, 90]","(3000, 3500]"
2232-DMLXU,1,Yes,1,81,3638,Poor expertise of online support,"(80, 90]","(3500, 4000]"
8937-RDTHP,1,Yes,1,66,2484,Poor expertise of phone support,"(60, 70]","(2000, 2500]"
1251-KRREG,1,Yes,1,81,2556,Price too high,"(80, 90]","(2500, 3000]"
0094-OIFMO,1,Yes,1,85,5980,Product dissatisfaction,"(80, 90]","(5500, 6000]"
9947-OTFQU,1,Yes,1,86,4616,Service dissatisfaction,"(80, 90]","(4500, 5000]"
0322-YINQP,1,Yes,1,77,5687,Lack of self-service on Website,"(70, 80]","(5500, 6000]"
4629-NRXKX,1,Yes,1,75,5687,Network reliability,"(70, 80]","(5500, 6000]"
9514-JDSKI,1,Yes,1,65,5828,Limited range of services,"(60, 70]","(5500, 6000]"
4959-JOSRX,1,Yes,1,99,4884,Lack of affordable download/upload speed,"(90, 100]","(4500, 5000]"
7273-TEFQD,1,Yes,1,96,2314,Long distance charges,"(90, 100]","(2000, 2500]"
3606-TWKGI,1,Yes,1,84,2494,Extra data charges,"(80, 90]","(2000, 2500]"
6323-AYBRX,1,Yes,1,83,5084,Price too high,"(80, 90]","(5000, 5500]"
4385-GZQXV,1,Yes,1,81,3810,Product dissatisfaction,"(80, 90]","(3500, 4000]"
6366-ZGQGL,1,Yes,1,73,5087,Service dissatisfaction,"(70, 80]","(5000, 5500]"
5940-AHUHD,1,Yes,1,69,3338,Lack of self-service on Website,"(60, 70]","(3000, 3500]"
6432-TWQLB,1,Yes,1,80,3676,Network reliability,"(70, 80]","(3500, 4000]"
4484-GLZOU,1,Yes,1,65,4839,Don't know,"(60, 70]","(4500, 5000]"
9512-UIBFX,1,Yes,1,68,4643,Don't know,"(60, 70]","(4500, 5000]"
5583-SXDAG,1,Yes,1,97,4094,Don't know,"(90, 100]","(4000, 4500]"
3488-PGMQJ,1,Yes,1,80,4345,Poor expertise of online support,"(70, 80]","(4000, 4500]"
3580-REOAC,1,Yes,1,83,4061,Poor expertise of phone support,"(80, 90]","(4000, 4500]"
7534-BFESC,1,Yes,1,98,2018,Price too high,"(90, 100]","(2000, 2500]"
6390-DSAZX,1,Yes,1,80,2565,Product dissatisfaction,"(70, 80]","(2500, 3000]"
8098-LLAZX,1,Yes,1,85,3677,Service dissatisfaction,"(80, 90]","(3500, 4000]"
0265-EDXBD,1,Yes,1,69,4105,Lack of self-service on Website,"(60, 70]","(4000, 4500]"
7563-BIUPC,1,Yes,1,69,5715,Network reliability,"(60, 70]","(5500, 6000]"
2321-OMBXY,1,Yes,1,81,2071,Limited range of services,"(80, 90]","(2000, 2500]"
2840-XANRC,1,Yes,1,73,2212,Lack of affordable download/upload speed,"(70, 80]","(2000, 2500]"
5020-ZSTTY,1,Yes,1,83,4149,Long distance charges,"(80, 90]","(4000, 4500]"
5804-LEPIM,1,Yes,1,73,2671,Extra data charges,"(70, 80]","(2500, 3000]"
0122-OAHPZ,1,Yes,1,67,2473,Price too high,"(60, 70]","(2000, 2500]"
2868-SNELZ,1,Yes,1,92,2683,Product dissatisfaction,"(90, 100]","(2500, 3000]"
4322-RCYMT,1,Yes,1,81,4903,Service dissatisfaction,"(80, 90]","(4500, 5000]"
6680-NENYN,1,Yes,1,91,5250,Lack of self-service on Website,"(90, 100]","(5000, 5500]"
1343-EHPYB,1,Yes,1,98,4352,Network reliability,"(90, 100]","(4000, 4500]"
2034-GDRCN,1,Yes,1,76,4157,Don't know,"(70, 80]","(4000, 4500]"
0219-YTZUE,1,Yes,1,73,4939,Don't know,"(70, 80]","(4500, 5000]"
0623-IIHUG,1,Yes,1,97,4778,Don't know,"(90, 100]","(4500, 5000]"
4572-DVCGN,1,Yes,1,85,3598,Poor expertise of online support,"(80, 90]","(3500, 4000]"
9057-MSWCO,1,Yes,1,91,2927,Poor expertise of phone support,"(90, 100]","(2500, 3000]"
1010-DIAUQ,1,Yes,1,98,5383,Price too high,"(90, 100]","(5000, 5500]"
0259-GBZSH,1,Yes,1,73,3878,Product dissatisfaction,"(70, 80]","(3500, 4000]"
9601-BRXPO,1,Yes,1,66,3642,Service dissatisfaction,"(60, 70]","(3500, 4000]"
6905-NIQIN,1,Yes,1,76,2431,Don't know,"(70, 80]","(2000, 2500]"
5167-ZFFMM,1,Yes,1,81,3424,Network reliability,"(80, 90]","(3000, 3500]"
4895-TMWIR,1,Yes,1,80,5888,Limited range of services,"(70, 80]","(5500, 6000]"
0533-BNWKF,1,Yes,1,100,5502,Lack of affordable download/upload speed,"(90, 100]","(5500, 6000]"
6599-CEBNN,1,Yes,1,94,5795,Long distance charges,"(90, 100]","(5500, 6000]"
0979-PHULV,1,Yes,1,80,4020,Extra data charges,"(70, 80]","(4000, 4500]"
4800-VHZKI,1,Yes,1,92,3351,Price too high,"(90, 100]","(3000, 3500]"
7989-CHGTL,1,Yes,1,95,3448,Product dissatisfaction,"(90, 100]","(3000, 3500]"
0334-GDDSO,1,Yes,1,73,2818,Service dissatisfaction,"(70, 80]","(2500, 3000]"
0578-SKVMF,1,Yes,1,88,3804,Lack of self-service on Website,"(80, 90]","(3500, 4000]"
5564-NEMQO,1,Yes,1,67,4902,Network reliability,"(60, 70]","(4500, 5000]"
9063-ZGTUY,1,Yes,1,82,4221,Don't know,"(80, 90]","(4000, 4500]"
2957-LOLHO,1,Yes,1,68,2887,Don't know,"(60, 70]","(2500, 3000]"
7752-XUSCI,1,Yes,1,84,4105,Don't know,"(80, 90]","(4000, 4500]"
4110-PFEUZ,1,Yes,1,73,2792,Competitor had better devices,"(70, 80]","(2500, 3000]"
0256-LTHVJ,1,Yes,1,98,5201,Competitor had better devices,"(90, 100]","(5000, 5500]"
0880-TKATG,1,Yes,1,84,4417,Competitor had better devices,"(80, 90]","(4000, 4500]"
3811-VBYBZ,1,Yes,1,98,2031,Competitor had better devices,"(90, 100]","(2000, 2500]"
4640-UHDOS,1,Yes,1,91,4498,Competitor had better devices,"(90, 100]","(4000, 4500]"
3583-EKAPL,1,Yes,1,71,4877,Competitor had better devices,"(70, 80]","(4500, 5000]"
9399-APLBT,1,Yes,1,80,5980,Competitor had better devices,"(70, 80]","(5500, 6000]"
2359-KMGLI,1,Yes,1,77,4418,Competitor had better devices,"(70, 80]","(4000, 4500]"
0306-JAELE,1,Yes,1,66,4192,Competitor had better devices,"(60, 70]","(4000, 4500]"
6227-HWPWX,1,Yes,1,73,5671,Competitor had better devices,"(70, 80]","(5500, 6000]"
0447-BEMNG,1,Yes,1,65,4926,Price too high,"(60, 70]","(4500, 5000]"
5949-XIKAE,1,Yes,1,65,2879,Product dissatisfaction,"(60, 70]","(2500, 3000]"
8372-JUXUI,1,Yes,1,93,2814,Service dissatisfaction,"(90, 100]","(2500, 3000]"
0388-EOPEX,1,Yes,1,77,4263,Lack of self-service on Website,"(70, 80]","(4000, 4500]"
8205-OTCHB,1,Yes,1,66,3099,Network reliability,"(60, 70]","(3000, 3500]"
6235-VDHOM,1,Yes,1,89,4099,Limited range of services,"(80, 90]","(4000, 4500]"
7783-YKGDV,1,Yes,1,76,2538,Lack of affordable download/upload speed,"(70, 80]","(2500, 3000]"
5609-CEBID,1,Yes,1,87,2666,Long distance charges,"(80, 90]","(2500, 3000]"
7218-HKQFK,1,Yes,1,72,3715,Don't know,"(70, 80]","(3500, 4000]"
4636-QRJKY,1,Yes,1,98,5032,Price too high,"(90, 100]","(5000, 5500]"
5956-VKDTT,1,Yes,1,82,5273,Product dissatisfaction,"(80, 90]","(5000, 5500]"
9412-GHEEC,1,Yes,1,88,3492,Service dissatisfaction,"(80, 90]","(3000, 3500]"
0257-ZESQC,1,Yes,1,99,4517,Lack of self-service on Website,"(90, 100]","(4500, 5000]"
6825-UYPFK,1,Yes,1,81,2115,Network reliability,"(80, 90]","(2000, 2500]"
8397-MVTAZ,1,Yes,1,72,2568,Don't know,"(70, 80]","(2500, 3000]"
9282-IZGQK,1,Yes,1,80,5679,Don't know,"(70, 80]","(5500, 6000]"
1342-JPNKI,1,Yes,1,85,2966,Don't know,"(80, 90]","(2500, 3000]"
2817-NTQDO,1,Yes,1,74,4856,Poor expertise of online support,"(70, 80]","(4500, 5000]"
6986-IJDHX,1,Yes,1,98,3364,Poor expertise of phone support,"(90, 100]","(3000, 3500]"
5301-GAUUY,1,Yes,1,92,5974,Competitor had better devices,"(90, 100]","(5500, 6000]"
0939-YAPAF,1,Yes,1,72,2744,Competitor offered higher download speeds,"(70, 80]","(2500, 3000]"
4710-FDUIZ,1,Yes,1,67,5170,Competitor offered more data,"(60, 70]","(5000, 5500]"
1218-VKFPE,1,Yes,1,72,3535,Competitor made better offer,"(70, 80]","(3500, 4000]"
3627-FHKBK,1,Yes,1,87,3244,Competitor had better devices,"(80, 90]","(3000, 3500]"
2865-TCHJW,1,Yes,1,74,5808,Competitor had better devices,"(70, 80]","(5500, 6000]"
5192-EBGOV,1,Yes,1,66,4880,Competitor offered higher download speeds,"(60, 70]","(4500, 5000]"
0719-SYFRB,1,Yes,1,67,5670,Competitor offered higher download speeds,"(60, 70]","(5500, 6000]"
3419-SNJJD,1,Yes,1,91,4196,Competitor offered higher download speeds,"(90, 100]","(4000, 4500]"
6543-CPZMK,1,Yes,1,83,2573,Competitor offered more data,"(80, 90]","(2500, 3000]"
4765-OXPPD,1,Yes,1,76,3983,Competitor offered more data,"(70, 80]","(3500, 4000]"
1009-IRMNA,1,Yes,1,100,4479,Competitor offered more data,"(90, 100]","(4000, 4500]"
4554-YGZIH,1,Yes,1,96,5059,Competitor made better offer,"(90, 100]","(5000, 5500]"
5099-BAILX,1,Yes,1,65,2728,Competitor made better offer,"(60, 70]","(2500, 3000]"
7207-RMRDB,1,Yes,1,89,5720,Competitor had better devices,"(80, 90]","(5500, 6000]"
4913-EHYUI,1,Yes,1,91,6268,Competitor offered higher download speeds,"(90, 100]","(6000, 6500]"
0195-IESCP,1,Yes,1,75,3573,Competitor offered more data,"(70, 80]","(3500, 4000]"
4580-TMHJU,1,Yes,1,65,2152,Don't know,"(60, 70]","(2000, 2500]"
0970-ETWGE,1,Yes,1,99,4996,Competitor had better devices,"(90, 100]","(4500, 5000]"
1626-ERCMM,1,Yes,1,84,5604,Competitor had better devices,"(80, 90]","(5500, 6000]"
0887-HJGAR,1,Yes,1,95,2295,Competitor offered higher download speeds,"(90, 100]","(2000, 2500]"
5644-PDMZC,1,Yes,1,80,2065,Competitor offered higher download speeds,"(70, 80]","(2000, 2500]"
9576-ANLXO,1,Yes,1,87,2876,Competitor offered higher download speeds,"(80, 90]","(2500, 3000]"
2024-BASKD,1,Yes,1,94,3860,Competitor offered more data,"(90, 100]","(3500, 4000]"
4160-AMJTL,1,Yes,1,83,5432,Competitor offered more data,"(80, 90]","(5000, 5500]"
4464-JCOLN,1,Yes,1,68,2362,Competitor offered more data,"(60, 70]","(2000, 2500]"
5650-VDUDS,1,Yes,1,93,2038,Competitor made better offer,"(90, 100]","(2000, 2500]"
7538-GWHML,1,Yes,1,80,2323,Competitor made better offer,"(70, 80]","(2000, 2500]"
3859-CVCET,1,Yes,1,78,2864,Competitor had better devices,"(70, 80]","(2500, 3000]"
3276-HDUEG,1,Yes,1,78,4838,Competitor offered higher download speeds,"(70, 80]","(4500, 5000]"
0823-HSCDJ,1,Yes,1,90,5597,Competitor offered more data,"(80, 90]","(5500, 6000]"
0822-GAVAP,1,Yes,1,65,3146,Competitor made better offer,"(60, 70]","(3000, 3500]"
1448-PWKYE,1,Yes,1,88,2046,Competitor had better devices,"(80, 90]","(2000, 2500]"
0067-DKWBL,1,Yes,1,89,3475,Competitor had better devices,"(80, 90]","(3000, 3500]"
2276-YDAVZ,1,Yes,1,69,4965,Competitor offered higher download speeds,"(60, 70]","(4500, 5000]"
5896-NPFWW,1,Yes,1,86,3273,Competitor offered higher download speeds,"(80, 90]","(3000, 3500]"
7133-VBDCG,1,Yes,1,85,4535,Competitor offered higher download speeds,"(80, 90]","(4500, 5000]"
1029-QFBEN,1,Yes,1,66,3556,Competitor offered more data,"(60, 70]","(3500, 4000]"
4952-YSOGZ,1,Yes,1,74,5640,Competitor offered more data,"(70, 80]","(5500, 6000]"
1589-AGTLK,1,Yes,1,67,2450,Competitor offered more data,"(60, 70]","(2000, 2500]"
5244-IRFIH,1,Yes,1,96,4333,Competitor made better offer,"(90, 100]","(4000, 4500]"
2684-EIWEO,1,Yes,1,97,2482,Competitor made better offer,"(90, 100]","(2000, 2500]"
6439-GTPCA,1,Yes,1,73,5269,Competitor had better devices,"(70, 80]","(5000, 5500]"
5138-WVKYJ,1,Yes,1,80,3658,Competitor offered higher download speeds,"(70, 80]","(3500, 4000]"
6683-VLCTZ,1,Yes,1,92,5444,Competitor offered more data,"(90, 100]","(5000, 5500]"
2189-WWOEW,1,Yes,1,96,3579,Don't know,"(90, 100]","(3500, 4000]"
1894-IGFSG,1,Yes,1,82,3161,Competitor had better devices,"(80, 90]","(3000, 3500]"
7379-POKDZ,1,Yes,1,66,3038,Competitor had better devices,"(60, 70]","(3000, 3500]"
0236-HFWSV,1,Yes,1,77,5264,Competitor offered higher download speeds,"(70, 80]","(5000, 5500]"
3900-AQPHZ,1,Yes,1,100,4248,Competitor offered higher download speeds,"(90, 100]","(4000, 4500]"
5842-POCOP,1,Yes,1,79,4356,Competitor offered higher download speeds,"(70, 80]","(4000, 4500]"
2037-XJFUP,1,Yes,1,76,4161,Competitor offered more data,"(70, 80]","(4000, 4500]"
7314-OXENN,1,Yes,1,97,3051,Competitor offered more data,"(90, 100]","(3000, 3500]"
0322-CHQRU,1,Yes,1,81,3478,Competitor offered more data,"(80, 90]","(3000, 3500]"
4678-DVQEO,1,Yes,1,71,4138,Competitor made better offer,"(70, 80]","(4000, 4500]"
0691-IFBQW,1,Yes,1,81,2403,Competitor made better offer,"(80, 90]","(2000, 2500]"
3009-JWMPU,1,Yes,1,92,5016,Attitude of service provider,"(90, 100]","(5000, 5500]"
1450-GALXR,1,Yes,1,74,5184,Attitude of service provider,"(70, 80]","(5000, 5500]"
3138-BKYAV,1,Yes,1,75,4694,Attitude of service provider,"(70, 80]","(4500, 5000]"
4289-DTDKW,1,Yes,1,70,2576,Attitude of support person,"(60, 70]","(2500, 3000]"
1820-TQVEV,1,Yes,1,76,3042,Attitude of support person,"(70, 80]","(3000, 3500]"
2239-JALAW,1,Yes,1,74,6105,Attitude of support person,"(70, 80]","(6000, 6500]"
4853-RULSV,1,Yes,1,80,4544,Attitude of service provider,"(70, 80]","(4500, 5000]"
6275-YDUVO,1,Yes,1,95,2969,Attitude of service provider,"(90, 100]","(2500, 3000]"
0115-TFERT,1,Yes,1,89,4123,Attitude of service provider,"(80, 90]","(4000, 4500]"
2311-QYMUQ,1,Yes,1,73,3696,Attitude of support person,"(70, 80]","(3500, 4000]"
3643-AHCFP,1,Yes,1,83,3265,Competitor made better offer,"(80, 90]","(3000, 3500]"
3104-OWCGK,1,Yes,1,76,4111,Moved,"(70, 80]","(4000, 4500]"
9101-BWFSS,1,Yes,1,82,4274,Moved,"(80, 90]","(4000, 4500]"
9231-ZJYAM,1,Yes,1,72,5301,Moved,"(70, 80]","(5000, 5500]"
6982-SSHFK,1,Yes,1,89,3522,Competitor offered higher download speeds,"(80, 90]","(3500, 4000]"
0727-BMPLR,1,Yes,1,83,5679,Competitor offered higher download speeds,"(80, 90]","(5500, 6000]"
1038-ZAGBI,1,Yes,1,94,2653,Competitor offered higher download speeds,"(90, 100]","(2500, 3000]"
3027-ZTDHO,1,Yes,1,80,5951,Don't know,"(70, 80]","(5500, 6000]"
2382-BCKQJ,1,Yes,1,91,5600,Competitor offered higher download speeds,"(90, 100]","(5500, 6000]"
2207-NHRJK,1,Yes,1,85,3718,Competitor offered higher download speeds,"(80, 90]","(3500, 4000]"
0947-MUGVO,1,Yes,1,95,5849,Competitor offered higher download speeds,"(90, 100]","(5500, 6000]"
9944-HKVVB,1,Yes,1,77,5861,Competitor offered higher download speeds,"(70, 80]","(5500, 6000]"
4124-MMETB,1,Yes,1,85,3665,Competitor offered higher download speeds,"(80, 90]","(3500, 4000]"
3671-SHRSP,1,Yes,1,86,3080,Competitor offered more data,"(80, 90]","(3000, 3500]"
3313-QKNKB,1,Yes,1,80,6304,Competitor offered more data,"(70, 80]","(6000, 6500]"
5073-WXOYN,1,Yes,1,67,4941,Competitor offered more data,"(60, 70]","(4500, 5000]"
0207-MDKNV,1,Yes,1,84,2122,Competitor made better offer,"(80, 90]","(2000, 2500]"
9851-KIELU,1,Yes,1,76,5803,Competitor made better offer,"(70, 80]","(5500, 6000]"
3908-BLSYF,1,Yes,1,97,3962,Price too high,"(90, 100]","(3500, 4000]"
7549-MYGPK,1,Yes,1,79,5413,Price too high,"(70, 80]","(5000, 5500]"
3804-RVTGV,1,Yes,1,100,5812,Price too high,"(90, 100]","(5500, 6000]"
9227-LUNBG,1,Yes,1,76,5768,Price too high,"(70, 80]","(5500, 6000]"
4315-MURBD,1,Yes,1,71,5559,Price too high,"(70, 80]","(5500, 6000]"
9734-YWGEX,1,Yes,1,81,2954,Price too high,"(80, 90]","(2500, 3000]"
2719-BDAQO,1,Yes,1,93,4940,Price too high,"(90, 100]","(4500, 5000]"
0781-LKXBR,1,Yes,1,70,4038,Price too high,"(60, 70]","(4000, 4500]"
1907-UBQFC,1,Yes,1,99,3189,Price too high,"(90, 100]","(3000, 3500]"
6513-EECDB,1,Yes,1,94,4369,Price too high,"(90, 100]","(4000, 4500]"
7074-IEVOJ,1,Yes,1,91,3501,Product dissatisfaction,"(90, 100]","(3500, 4000]"
9625-QSTYE,1,Yes,1,79,4806,Service dissatisfaction,"(70, 80]","(4500, 5000]"
4750-ZRXIU,1,Yes,1,83,2467,Lack of self-service on Website,"(80, 90]","(2000, 2500]"
6400-BWQKW,1,Yes,1,99,3263,Network reliability,"(90, 100]","(3000, 3500]"
6680-WKXRZ,1,Yes,1,97,2054,Don't know,"(90, 100]","(2000, 2500]"
7028-DVOIQ,1,Yes,1,82,2074,Don't know,"(80, 90]","(2000, 2500]"
4208-UFFGW,1,Yes,1,84,5900,Don't know,"(80, 90]","(5500, 6000]"
9448-REEVD,1,Yes,1,74,3700,Don't know,"(70, 80]","(3500, 4000]"
9117-SHLZX,1,Yes,1,72,3571,Poor expertise of phone support,"(70, 80]","(3500, 4000]"
9889-TMAHG,1,Yes,1,74,5084,Competitor had better devices,"(70, 80]","(5000, 5500]"
4541-RMRLG,1,Yes,1,82,4489,Competitor offered higher download speeds,"(80, 90]","(4000, 4500]"
3158-MOERK,1,Yes,1,83,3391,Competitor offered more data,"(80, 90]","(3000, 3500]"
7294-TMAOP,1,Yes,1,72,2627,Competitor made better offer,"(70, 80]","(2500, 3000]"
8919-FYFQZ,1,Yes,1,96,4829,Competitor had better devices,"(90, 100]","(4500, 5000]"
2834-JRTUA,1,Yes,1,81,5200,Competitor had better devices,"(80, 90]","(5000, 5500]"
5875-YPQFJ,1,Yes,1,84,5367,Competitor offered higher download speeds,"(80, 90]","(5000, 5500]"
6646-QVXLR,1,Yes,1,91,5052,Competitor offered higher download speeds,"(90, 100]","(5000, 5500]"
8603-IJWDN,1,Yes,1,93,5228,Competitor offered higher download speeds,"(90, 100]","(5000, 5500]"
9369-XFEHK,1,Yes,1,72,3601,Competitor offered more data,"(70, 80]","(3500, 4000]"
3842-IYKUE,1,Yes,1,88,2455,Competitor offered more data,"(80, 90]","(2000, 2500]"
6641-XRPSU,1,Yes,1,93,2318,Competitor offered more data,"(90, 100]","(2000, 2500]"
1374-DMZUI,1,Yes,1,99,5419,Competitor made better offer,"(90, 100]","(5000, 5500]"
8357-EQXFO,1,Yes,1,92,3077,Competitor made better offer,"(90, 100]","(3000, 3500]"
1989-PRJHP,1,Yes,1,65,2377,Competitor had better devices,"(60, 70]","(2000, 2500]"
9524-EGPJC,1,Yes,1,80,4260,Competitor offered higher download speeds,"(70, 80]","(4000, 4500]"
6993-OHLXR,1,Yes,1,84,5225,Competitor offered more data,"(80, 90]","(5000, 5500]"
8818-XYFCQ,1,Yes,1,71,5026,Competitor made better offer,"(70, 80]","(5000, 5500]"
4695-VADHF,1,Yes,1,84,2989,Competitor had better devices,"(80, 90]","(2500, 3000]"
3863-IUBJR,1,Yes,1,78,2595,Competitor had better devices,"(70, 80]","(2500, 3000]"
4822-RVYBB,1,Yes,1,90,5906,Competitor offered higher download speeds,"(80, 90]","(5500, 6000]"
8436-BJUMM,1,Yes,1,84,2404,Competitor offered higher download speeds,"(80, 90]","(2000, 2500]"
4184-TJFAN,1,Yes,1,68,4486,Competitor offered higher download speeds,"(60, 70]","(4000, 4500]"
4145-UQXUQ,1,Yes,1,81,5662,Competitor offered more data,"(80, 90]","(5500, 6000]"
9948-YPTDG,1,Yes,1,85,2405,Competitor offered more data,"(80, 90]","(2000, 2500]"
1236-WFCDV,1,Yes,1,96,4777,Competitor offered more data,"(90, 100]","(4500, 5000]"
4883-QICIH,1,Yes,1,96,2356,Don't know,"(90, 100]","(2000, 2500]"
8329-IBCTI,1,Yes,1,99,5881,Competitor made better offer,"(90, 100]","(5500, 6000]"
1271-SJBGZ,1,Yes,1,74,2437,Competitor had better devices,"(70, 80]","(2000, 2500]"
5669-SRAIP,1,Yes,1,93,2863,Competitor offered higher download speeds,"(90, 100]","(2500, 3000]"
5981-ITEMU,1,Yes,1,67,3099,Competitor offered more data,"(60, 70]","(3000, 3500]"
6941-PMGEP,1,Yes,1,97,3937,Competitor made better offer,"(90, 100]","(3500, 4000]"
1624-WOIWJ,1,Yes,1,69,5686,Competitor had better devices,"(60, 70]","(5500, 6000]"
2074-GKOWZ,1,Yes,1,73,3851,Competitor had better devices,"(70, 80]","(3500, 4000]"
0376-YMCJC,1,Yes,1,82,4359,Competitor offered higher download speeds,"(80, 90]","(4000, 4500]"
